num_doc,wiki_text,viki_text
1,The bulb absorbs sunlight which allows it grow.,The bulb will become an enormous flower as it goes along its evolution.
2,"Richard II (6 January 1367 - c. 14 February 1400), also known as Richard of Bordeaux, was King of England from 1377 until he was deposed in 1399.",Richard II of England (6 January 1367- February 1400) was King of England from 1377 until he was deposed on 30 September 1399.
2,Richard of Bordeaux was the younger son of Edward the Black Prince and Joan of Kent.,"Richard was a son of Edward, the Black Prince."
2,This resulted in the 10-year-old Richard succeeding to the throne.,Richard rose to the throne at the age of ten.
3,"Spinosaurus (meaning ""spine lizard"") is a genus of theropod dinosaur that lived in what now is North Africa, during the upper Albian to upper Turonian stages of the Cretaceous period, about 112 to 93.5 million years ago.","Spinosaurus The Spinosaurus was an extinct Dinosaur that had lived during the Cretaceous period, about 112 million years to 97 million years ago."
4,It was directed by Martin Connor and starred Lucy O'Byrne as Maria.,It starred Mary Martin as Maria.
4,"She will act as the governess to the seven children of a widower, Austro-Hungarian Navy submarine Captain Georg von Trapp. Maria arrives at the villa of Captain von Trapp.","Maria wants to be a nun, but she becomes governess to Captain von Trapp's several children."
4,"The Nazis leave, and the von Trapps flee over the Alps as the nuns reprise ""Climb Ev'ry Mountain"".","To escape the Nazis, the Von Trapp family hikes over the Alps to safety in Switzerland."
4,"The musical premiered in London's West End at the Palace Theatre on May 18, 1961, and ran for 2,385 performances.","The musical opened on Broadway on November 16, 1959."
5,"A symphony orchestra will usually have over eighty musicians on its roster, in some cases over a hundred, but the actual number of musicians employed in a particular performance may vary according to the work being played and the size of the venue. Chamber orchestra usually refers to smaller-sized ensembles; a major chamber orchestra might employ as many as fifty musicians; some are much smaller than that.","A symphony orchestra may have about 100 players, while a chamber orchestra may have 30 or 40 players. The number of players will depend on what music they are playing and the size of the place where they are playing."
5,"Among the instrument groups and within each group of instruments, there is a generally accepted hierarchy. Every instrumental group (or section) has a principal who is generally responsible for leading the group and playing orchestral solos.","The principals will make decisions about seating arrangements, and about technical ways of playing the music: for example the principal of the string sections will make sure all the players move their bows up and down in the same direction."
5,"The terms symphony orchestra and philharmonic orchestra may be used to distinguish different ensembles from the same locality, such as the London Symphony Orchestra and the London Philharmonic Orchestra.","A large orchestra is sometimes called a ""symphony orchestra"" and a small orchestra is called a ""chamber orchestra""."
5,"The violins are divided into two groups, first violin and second violin, with the second violins playing in lower registers than the first violins, playing an accompaniment part, or harmonizing the melody played by the first violins.",The violins are divided into first and second violins.
5,"There is also a principal second violin, a principal viola, a principal cello and a principal bass.","The strings are the biggest section, although there are only five kinds of instruments: violin, viola, cello, double bass, and harp."
